snr_db,cfar_sa_pd,cfar_kf_pd,cnn_batch_pd,cnn_kf_pd,gru_kf_pd,cfar_kf_rmse_bins,cnn_kf_rmse_bins,gru_kf_rmse_bins,lrt_pd,dptbd_pd,transformer_pd
-20.0,0.0267,0.2333,0.0333,0.0,0.0667,4.0562,0.0,2.3911,0.1,0.2,0.03333333333333333
-16.0,0.0433,0.2333,0.0,0.0333,0.1333,4.4553,2.2822,3.9287,0.13333333333333333,0.1,0.0
-12.0,0.03,0.1333,0.0,0.1,0.2333,3.3792,5.1921,3.9172,0.06666666666666667,0.13333333333333333,0.0
-8.0,0.0533,0.3,0.0,0.0333,0.3,3.2735,5.0846,4.7466,0.0,0.06666666666666667,0.0
-4.0,0.0767,0.2667,0.0,0.2,0.4333,4.6345,3.7304,3.6459,0.13333333333333333,0.03333333333333333,0.0
0.0,0.1133,0.0667,0.1333,0.3667,0.7333,4.2187,3.2893,3.2847,0.23333333333333334,0.13333333333333333,0.0
4.0,0.1633,0.4,0.5333,0.7667,1.0,3.125,4.3662,3.3522,0.36666666666666664,0.16666666666666666,0.3
8.0,0.38,0.4333,0.9667,0.9667,1.0,3.4112,3.8167,2.8807,0.9666666666666667,0.9666666666666667,0.7333333333333333
12.0,0.6667,1.0,1.0,1.0,1.0,2.601,4.2889,3.2532,1.0,1.0,0.9333333333333333
16.0,0.8533,1.0,1.0,1.0,1.0,1.9153,4.7556,3.5304,1.0,1.0,1.0
20.0,0.9667,1.0,1.0,1.0,1.0,2.106,4.2729,3.1592,1.0,1.0,1.0
24.0,0.9767,1.0,1.0,1.0,1.0,2.4844,4.5902,3.0006,1.0,1.0,1.0
28.0,1.0,1.0,1.0,1.0,1.0,2.4927,4.672,3.1039,1.0,1.0,1.0
32.0,0.99,1.0,1.0,1.0,1.0,2.4575,4.4033,3.1065,1.0,1.0,1.0
36.0,1.0,1.0,1.0,1.0,1.0,2.7988,4.3055,2.8603,1.0,1.0,1.0
40.0,1.0,1.0,1.0,1.0,1.0,3.0583,4.1582,3.0793,1.0,1.0,1.0
